Datum,Salesindex
2016-05-19,95.2
2016-05-20,95.2
2016-05-21,95.2
2016-05-22,95.2
2016-05-23,95.2
2016-05-24,95.2
2016-05-25,95.2
2016-05-26,95.2
2016-05-27,95.2
2016-05-28,95.2
2016-05-29,95.2
2016-05-30,95.2
2016-05-31,95.2
2016-06-01,95.4
2016-06-02,95.4
2016-06-03,95.4
2016-06-04,95.4
2016-06-05,95.4
2016-06-06,95.4
2016-06-07,95.4
2016-06-08,95.4
2016-06-09,95.4
2016-06-10,95.4
2016-06-11,95.4
2016-06-12,95.4
2016-06-13,95.4
2016-06-14,95.4
2016-06-15,95.4
2016-06-16,95.4
2016-06-17,95.4
2016-06-18,95.4
2016-06-19,95.4
2016-06-20,95.4
2016-06-21,95.4
2016-06-22,95.4
2016-06-23,95.4
2016-06-24,95.4
2016-06-25,95.4
2016-06-26,95.4
2016-06-27,95.4
2016-06-28,95.4
2016-06-29,95.4
2016-06-30,95.4
2016-07-01,95.2
2016-07-02,95.2
2016-07-03,95.2
2016-07-04,95.2
2016-07-05,95.2
2016-07-06,95.2
2016-07-07,95.2
2016-07-08,95.2
2016-07-09,95.2
2016-07-10,95.2
2016-07-11,95.2
2016-07-12,95.2
2016-07-13,95.2
2016-07-14,95.2
2016-07-15,95.2
2016-07-16,95.2
2016-07-17,95.2
2016-07-18,95.2
2016-07-19,95.2
2016-07-20,95.2
2016-07-21,95.2
2016-07-22,95.2
2016-07-23,95.2
2016-07-24,95.2
2016-07-25,95.2
2016-07-26,95.2
2016-07-27,95.2
2016-07-28,95.2
2016-07-29,95.2
2016-07-30,95.2
2016-07-31,95.2
2016-08-01,95.3
2016-08-02,95.3
2016-08-03,95.3
2016-08-04,95.3
2016-08-05,95.3
2016-08-06,95.3
2016-08-07,95.3
2016-08-08,95.3
2016-08-09,95.3
2016-08-10,95.3
2016-08-11,95.3
2016-08-12,95.3
2016-08-13,95.3
2016-08-14,95.3
2016-08-15,95.3
2016-08-16,95.3
2016-08-17,95.3
2016-08-18,95.3
2016-08-19,95.3
2016-08-20,95.3
2016-08-21,95.3
2016-08-22,95.3
2016-08-23,95.3
2016-08-24,95.3
2016-08-25,95.3
2016-08-26,95.3
2016-08-27,95.3
2016-08-28,95.3
2016-08-29,95.3
2016-08-30,95.3
2016-08-31,95.3
2016-09-01,95.5
2016-09-02,95.5
2016-09-03,95.5
2016-09-04,95.5
2016-09-05,95.5
2016-09-06,95.5
2016-09-07,95.5
2016-09-08,95.5
2016-09-09,95.5
2016-09-10,95.5
2016-09-11,95.5
2016-09-12,95.5
2016-09-13,95.5
2016-09-14,95.5
2016-09-15,95.5
2016-09-16,95.5
2016-09-17,95.5
2016-09-18,95.5
2016-09-19,95.5
2016-09-20,95.5
2016-09-21,95.5
2016-09-22,95.5
2016-09-23,95.5
2016-09-24,95.5
2016-09-25,95.5
2016-09-26,95.5
2016-09-27,95.5
2016-09-28,95.5
2016-09-29,95.5
2016-09-30,95.5
2016-10-01,95.2
2016-10-02,95.2
2016-10-03,95.2
2016-10-04,95.2
2016-10-05,95.2
2016-10-06,95.2
2016-10-07,95.2
2016-10-08,95.2
2016-10-09,95.2
2016-10-10,95.2
2016-10-11,95.2
2016-10-12,95.2
2016-10-13,95.2
2016-10-14,95.2
2016-10-15,95.2
2016-10-16,95.2
2016-10-17,95.2
2016-10-18,95.2
2016-10-19,95.2
2016-10-20,95.2
2016-10-21,95.2
2016-10-22,95.2
2016-10-23,95.2
2016-10-24,95.2
2016-10-25,95.2
2016-10-26,95.2
2016-10-27,95.2
2016-10-28,95.2
2016-10-29,95.2
2016-10-30,95.2
2016-10-31,95.2
2016-11-01,95.6
2016-11-02,95.6
2016-11-03,95.6
2016-11-04,95.6
2016-11-05,95.6
2016-11-06,95.6
2016-11-07,95.6
2016-11-08,95.6
2016-11-09,95.6
2016-11-10,95.6
2016-11-11,95.6
2016-11-12,95.6
2016-11-13,95.6
2016-11-14,95.6
2016-11-15,95.6
2016-11-16,95.6
2016-11-17,95.6
2016-11-18,95.6
2016-11-19,95.6
2016-11-20,95.6
2016-11-21,95.6
2016-11-22,95.6
2016-11-23,95.6
2016-11-24,95.6
2016-11-25,95.6
2016-11-26,95.6
2016-11-27,95.6
2016-11-28,95.6
2016-11-29,95.6
2016-11-30,95.6
2016-12-01,95.6
2016-12-02,95.6
2016-12-03,95.6
2016-12-04,95.6
2016-12-05,95.6
2016-12-06,95.6
2016-12-07,95.6
2016-12-08,95.6
2016-12-09,95.6
2016-12-10,95.6
2016-12-11,95.6
2016-12-12,95.6
2016-12-13,95.6
2016-12-14,95.6
2016-12-15,95.6
2016-12-16,95.6
2016-12-17,95.6
2016-12-18,95.6
2016-12-19,95.6
2016-12-20,95.6
